"Nazwa cała","R","Ilość dostępna","Stan","j.m.","Cena zakupu netto","Cena sprzedaży netto","Zarezerwowano","Indeks katalogowy","Indeks handlowy","Kod kreskowy","PLU","Cena zakupu brutto","Nazwa krótka","Nazwa oryg.","Cena sprzedaży brutto","Stan min.","Stan max.","Waga","Wysokość","Szerokość","Głębokość","Lokalizacja","Dostawcy dostarczą","Odbiorcy odbiorą","Zamiennik","Vat zak.","Vat sprz.","PKWiU","Marża [%]","F","Producent","Nr artykułu","S","Zał.","Wyróżnik","A","Indeks producenta","Kod CN","Kraj pochodzenia","JPK Klasyfikacja"
"Dysk SSD WD Black SN850X 1TB M.2 2280","Towar","1","1","szt.","417.19","19.50","0","Spr000032","Spr000032"," ","0","513.14","Dysk SSD WD Black SN850X 1TB M.2 2280","Dysk SSD WD Black SN850X 1TB M.2 2280","23.99","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-2039.44","0"," ","92","0","0"," ","0"," "," "," "," "
"Dysk SSD WD Green SN350 1TB M.2 2280","Towar","0","0","szt.","214.90","19.50","0","Spr000037","Spr000037"," ","0","264.33","Dysk SSD WD Green SN350 1TB M.2 2280","Dysk SSD WD Green SN350 1TB M.2 2280","23.99","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-1002.05","0"," ","105","0","0"," ","0"," "," "," "," "
"Dysk SSD WD Green SN350 240GB M.2 2280","Towar","0","0","szt.","72.00","19.50","0","Spr000036","Spr000036"," ","0","88.56","Dysk SSD WD Green SN350 240GB M.2 2280","Dysk SSD WD Green SN350 240GB M.2 2280","23.99","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-269.23","0"," ","104","0","0"," ","0"," "," "," "," "
"Dysk SSD WD Green SN350 480GB M.2 2280","Towar","1","1","szt.","111.00","19.50","0","Spr000042","Spr000042"," ","0","136.53","Dysk SSD WD Green SN350 480GB M.2 2280","Dysk SSD WD Green SN350 480GB M.2 2280","23.99","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-469.23","0"," ","110","0","0"," ","0"," "," "," "," "
"ESD Microsoft 365 Business Standard 1Y 1U","Towar","0","0","szt.","410.00","143.00","0","OPROGR00008","OPROGR00008"," ","0","504.30","ESD Microsoft 365 Business Standard 1Y","ESD Microsoft 365 Business Standard 1Y 1U","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-186.71","0"," ","87","0","0"," ","0"," "," "," "," "
"G Data EPP Bus. GOV KONT","Towar","0","0","szt.","37.72","143.00","0","OPROGR00009","OPROGR00009"," ","0","46.40","G Data EPP Bus. GOV KONT","G Data EPP Bus. GOV KONT","175.89","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","73.62","0"," ","88","0","0"," ","0"," "," "," "," "
"Głośniki Natec Panther 2.0 6W RMS","Towar","0","0","szt.","19.50","19.50","0","Spr000014","Spr000014"," ","0","23.99","Głośniki Natec Panther 2.0 6W RMS","Głośniki Natec Panther 2.0 6W RMS","23.99","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","55","0","0"," ","0"," "," "," "," "
"Kabel adapter iBOX IAHV01 HDMI do VGA","Towar","1","1","szt.","13.15","41.98","0","Spr000038","Spr000038"," ","0","16.17","Kabel adapter iBOX IAHV01 HDMI do VGA","Kabel adapter iBOX IAHV01 HDMI do VGA","51.64","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","68.68","0"," ","106","0","0"," ","0"," "," "," "," "
"Kabel zasilający Savio CL-158 do notebooka koniczynka 3 m","Towar","1","1","szt.","7.81","144.76","0","Spr000027","Spr000027"," ","0","9.61","Kabel zasilający Savio CL-158 do"," ","178.05","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","94.60","0"," ","77","0","0"," ","0"," "," "," "," "
"Karta sieciowa Lanberg 1Gb PCI-E 1x RJ45","Towar","0","0","szt.","37.93","246.98","0","Spr000034","Spr000034"," ","0","46.65","Karta sieciowa Lanberg 1Gb PCI-E 1x RJ45"," ","303.79","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","84.64","0"," ","96","0","0"," ","0"," "," "," "," "
"Komputer ADAX DRACO C11400F C5-11400F","Towar","0","0","szt.","2569.00","2569.00","0","Spr000016","Spr000016"," ","0","3159.87","Komputer ADAX DRACO C11400F C5-11400F","Komputer ADAX DRACO C11400F C5-11400F","3159.87","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","62","0","0"," ","0"," "," "," "," "
"Koszty dojazdu","Usługa","0","0","szt.","0.00","0.00","0","KAT00027","HAN00027"," ","0","0.00","Koszty dojazdu","koszty","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","27","0","0"," ","0"," "," "," "," "
"LENOVO M800 i7 SFF Windows 10","Towar","0","0","szt.","821.14","821.14","0","Spr000001","Spr000001"," ","0","1010.00","LENOVO M800 i7 SFF Windows 10","LENOVO M800 i7 SFF Windows 10","1010.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","31","0","0"," ","0"," "," "," "," "
"Listwa zasilająca Armac ARC5 5m","Towar","0","0","szt.","41.98","41.98","0","Spr000010","Spr000010"," ","0","51.64","Listwa zasilająca Armac ARC5 5m","Listwa zasilająca Armac ARC5 5m","51.64","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","51","0","0"," ","0"," "," "," "," "
"Listwa zasilająca Armac ARC8 5m 5x 230V PL","Towar","0","0","szt.","47.20","47.20","0","Spr000009","Spr000009"," ","0","58.06","Listwa zasilająca Armac ARC8 5m 5x 230V","Listwa zasilająca Armac ARC8 5m 5x 230V PL","58.06","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","50","0","0"," ","0"," "," "," "," "
